"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"21668","上海东船机电船舶工程有限公司","5020","Shanghai Dongchuan Machine-Electron Marine Enginee","Rm.704,No.7 Building,No.851 Quyang Road","曲阳路851弄7号楼704室","www.sh-dec.com","5205","挖泥船用绞刀、绞刀齿、液压铰刀传动装置、液压水下泥泵、液压抓斗机、耙头、耙齿、射液泵。","200437","dongchuan@sh-dec.com","021-65530675","021-65530964"
"21669","常熟市嘉宝船舶舾装件有限公司","5020","CHANGSHU JIABAO MARINE OUTFITS CO.,LTD","LIUXIA INDUSTRIAL PARK,XINGANG TOWN","新港镇留下工业园","","5201","船舶舾装，舱盖部件。","215512","","0512-52639988","0512-52638398"
"21670","常熟市江南船用起重索具有限公司","5020","CHANGSHU JIANGNAN MARINE RIGGING CO.,LTD","LICUN INDUSTRIAL AREA,BIXI XINGANG TOWN","新港镇碧溪李村工业园","www.jnmf.com","5201","船用索具，船用卸扣等。","215513","master@jnmf.com","0512-52697503","0512-52699099"
"21671","常熟市龙腾特种钢有限公司","5020","CHANGSHU LONGTENG SPECIAL STEEL CO.,LTD","NO.9 JUSHA ROAD,MEILI TOWN","梅李镇聚沙路9号","www.lttg.cn","5201","船用球扁钢。","215511","lttg@lttg.cn","0512-52669225","0512-52661141"
"21672","常熟市启光海航电气有限公司","5020","CHANGSHU QIGUANG NAUTICAL ELECTRIC CO.,LTD","NO.288 YUSHAN ROAD(N)","虞山北路288号","","5201","船舶电子电器系列、港口机械电子电器系列产品及不锈钢接线箱。","215500","sybqg288@pub.sz.jsinfo.net","0512-52853518","0512-52857317"
"21673","常熟市起重机械厂","5020","CHANGSHU CRANE MACHINERY PLANT","HUPU TOWN","浒浦镇","","5201","船用起重滑车，船用卸扣等。","215512","","0512-52631220","0512-52631671"
"21674","常熟市日久重工机械有限公司","5020","CHANGSHU RIJIU HEAVY INDUSTRY MARINERY CO.,LTD","MEILI TOWN","梅李镇","www.rijiu.cn","5201","船用起重滑车、螺旋扣、起重设备、化工设备、绞车配件、船舶舾装件。","215511","rj@rijiu.com","0512-52260288","0512-52661710"
"21675","常熟市瑞特电器有限责任公司","5020","CHANGSHU RUITE ELECTRICAL APPARATUS CO.,LTD","SUZHOU ROAD,HIGH-TECHNOLOGY ZONE,CHANGSHU ECONOMIC DEVELOPING AREA","常熟经济开发区高新技术产业园苏州路","www.cn-ruite.com","5201","船用主配电板、驾驶室集控台、充放电装置、正弦波逆变器、岸电稳压装置、雾笛控制器、报警电笛、软启动器。","215500","ruite@pub.sz.jsinfo.net","0512-52349798","0512-52348186"
"21676","常熟市双灵船舶设备有限公司","5020","CHANGSHU SHUANGLING MARINE EQUIPMENT CO.,LTD","SHIDE ROAD,MEILI TOWN","梅李镇师德路","www.sl-shipping.com","5201","船舶舾装件、船用起重滑车、船用索具等。","215511","master@sl-shipping.com","0512-52669335","0512-52660098"
"21677","常熟市新港机械厂","5020","CHANGSHU XINGANG MACHINERY PLANT","NO.172 XINGANG ROAD,HUPU TOWN","浒浦镇新港路172号","","5201","船用起重滑车，船用卸扣等。","215512","","0512-52631384","0512-52637697"
"21678","常熟市兴华船舶设备有限公司","5020","CHANGSHU XINHUA MARINE FITTINGS CO.,LTD","LIYUAN INDUSTRIAL AREA,XINGANG TOWN","新港镇李袁工业园区","www.xhshipping.com","5201","船舶索具螺旋扣、卸扣、钢索索节、弹簧拖钩、导缆滚轮、导缆桩、舱盖零部件等。","215513","master@xhshipping.com","0512-52637898","0512-52637898"
"21679","上海东鼎钢结构有限公司","5020","Shanghai Dongding Steel Structure Co.,Ltd","Qiaonong Industrial Area,Sunqiao Town,Pudong New District","浦东新区浦东孙桥桥弄工业区","","5205","大型钢结构。","201203","","021-58577111","021-58578599"
"21680","常熟市杨帆船舶属具厂","5020","CHANGSHU YANGFAN MARINE FITTINGS FACTORY","XINGANG(W),HUPU TOWN","浒浦镇新港西岸","","5201","专业生产船舶舾装件，舱口盖金属零部件，船用索具及钢结构制造。","215512","52631985@shipe.cn","0512-52631985","0512-52631985"
"21681","常熟市舟鑫船用起重舾装件有限公司","5020","CHANGSHU ZHOUXIN MARINE HOIST& OUTFIT CO.,LTD","SANFENG INDUSTRIAL AREA,LINCHANG","林场三峰工业园","","5201","起重滑车、螺旋扣、卸扣、及各种眼板、舱盖零部件、弹簧拖钩、起重索具等。","215500","","0512-52848718","0512-52842508"
"21682","常州八益电缆有限公司","5020","CHANGZHOU BAYI CABLE CO.,LTD","NO.18，KEJI AVENUE,ELECTRONIC TECHNOLOGY PARK ,CHANGZHOU NEW& HIGH-TECH DEVELOPMENT ZONE ","常州高新技术开发区电子科技产业园科技大道18号","www.zouxin.com","5201","制造特种电缆。","213031","zx@zouxin.com","0519-85480080","0519-85480185"
"21683","常州船用电缆有限责任公司","5020","CHANGZHOU MARINE CABLE CO.,LTD","NO.5 LONGYOU ROAD","龙游路5号","www.81cable.com","5201","船用电力电缆、控制电缆、通信电缆、传感器电缆、耐火电缆、水密封电缆等。","213004","cbc@81cable.com","0519-88813382","0519-88818417"
"21684","常州飞天集团船用设备厂","5020","CHANGZHOU FEITIAN GROUP MARINE EQUIPMENT WORKS","NO.29 LAODONG ROAD(E)","劳动东路29号","","5201","船用输送机械、吊机、锚绞盘减速机，船用变速箱。","213004","","0519-88812468","0519-88822742"
"21685","常州海河船艇用品有限公司","5020","CHANGZHOU HAIHE BOATS THINGS CO.,LTD","NO.558 HUANGSHAN ROAD","黄山路558号","","5201","专业生产各种船艇用品。","213022","","0519-88265678","0519-85133216"
"21686","常州航海仪器厂有限公司","5020","CHANGZHOU NAVIGATION INSTRUMENT FACTORY CO.,LTD","NO.223 SANBAO STREET","三堡街223号","www.czhaihe.com","5201","船舶专用仪器仪表等。","213016","czhaihe@czhaihe.com","0519-86862620","0519-86600335"
"21687","常州华通焊丝有限公司","5020","CHANGZHOU HUATONG WELDING WIRE CO.,LTD","YAOGUAN TOWN","遥观镇","www.htw.cn","5201","CO?气体保护焊丝、埋弧焊丝、不锈钢焊丝、铝合金焊丝。","213102","quantong@cxic.com","0519-88701183","0519-88705988"
"21688","常州绝热材料厂","5020","CHANGZHOU HEAT INSULATION WORKS","NO.1 NANTU JICHANGQIAO,QISHUYAN","戚墅堰机厂桥南堍1号","","5201","岩棉、陶瓷棉。","213011","","0519-88771649","0519-88771258"
"21689","常州能源设备总厂有限公司","5020","CHANGZHOU ENERGY EQUIPMENT FACTORY CO.,LTD","NO.7 PUQIAN ROAD(E)","浦前东路7号","www.ceef.com.cn","5201","有载热体炉，压力容器，反渗透海水淡化装置，船用热油锅炉，蒸汽式海水淡化装置。","213004","ceef@ceef.com.cn","0519-88810091","0519-88825315"
"21690","北京东方昊为科技开发有限公司","5041","Beijing Orient Howail Technology Co.,Ltd","Rm.1806,Block A jiajing Tiancheng,No.2A Zhonghuan Road(S),Wangjing,Chaoyang District,Beijing ,China","北京市朝阳区望京中环南路甲2号佳境天城国际商务大厦A座1806","www.orienthowail.com.cn","5213","专业喷砂制造","100102","market@orienthowail.com.cn","010-84720180","010-84720182"
"21691","上海东佳铸锻厂","5020","Shanghai Dongjia Casting Factory","No.2311 Pudong Avenue,Pudong New District","浦东新区浦东大道2311号","www.dj-casting.com","5205","主要产品有多流道合金铸铁液压件、各种类型的缸套、汽缸头、真空泵附件、叶轮、大型尾轴铜套、铜涡轮、铜泵、铜阀门、可调桨叶等。","200135","","021-58516896","021-38820914"
"21692","常州市飞华船用设备有限公司","5020","CHANGZHOU FEIHUA MAEINE MACHINERY CO.,LTD","HENGSHANQIAO TOWN","横山桥镇","","5201","真空蒸汽式海水淡化装置，反渗透海水淡化装置，船用饮水处理装置。","213004","","0519-88602365","0519-88822527"
"21693","常州市港口机械有限公司","5020","CHANGZHOU HAIBOUR MACHINERY CO.,LTD","NO.39 CAILING ROAD","采菱路39号","www.czgangji.com","5201","船用交流轴带发电机、同步发电机、低压无刷发电机、主配电箱、控制箱、起重运输机械。","213018","office@czgangji.com","0519-88825012","0519-88814994"
"21694","常州市锅炉设备有限公司","5020","CHANGZHOU BOILER EQUIPMENT CO.,LTD","ZHENXI INDUSTRIAL ZONE ,HENGLIN TOWN,WUJIN DISTRICT","武进区横林镇镇西工业园区","www.cgl.cn","5201","各类锅炉。","213101","czguolu@cgl.cn","0519-88786718","0519-88786718"
"21695","常州市海江船舶安全设备厂","5020","CHANGZHOU HAIJIANG MARINE SAFETY DEVICE PLANT","TANGZHUANGQIAO STREET,LUOXI TOWN","罗溪镇汤庄桥街","","5201","舰船安全设备制造。","213133","","0519-83206061",""
"21696","常州市汇丰船舶附件厂","5020","CHANGZHOU HUIFENG MARINE ACCESSORIES WORKS","LUCHENG MINYING INDUSTRY AREA","潞城民营工业园","www.hfcbfj.com.cn","5201","船用空气管头系列、恒温疏水阀组系列、液流指示器、自闭式测量管头系列、青铜软管阀、快速接头阀、海水滤器、泥箱、甲板操纵装置、法兰铸铁闸阀、截止阀系列、空气蒸汽减压阀、安全阀、过滤器等产品。","213025","web@hfcbfj.com.cn","0519-88402331-801","0519-88402331-803"
"21697","常州市陆氏船舶机械有限公司（原常州市船舶机械厂）","5020","CHANGZHOU LUSHI MARINE MECHANICAL CO.,LTD","NO.6 INDUSTRIAL AREA,ZHANGJIA VILLAGE,XILINXIANG","西林乡张家村工业园区6号","www.cz-cpjx.com","5201","风动液压泵，喷油嘴试验台，手动高压泵，自给式压油器等。","213024","","0519-83888619","0519-83888352"
"21698","常州市平冈机械有限公司","5020","CHANGZHOU PINGGANG MACHINERY CO.,LTD","500m WUXING BRIDGE(S),WAIHUAN ROAD(W)","市外环西路五星桥南500米。","www.pgsj.net","5201","起重索具、钢结构件、彩钢波纹瓦。","213016","ssc@pgsj.net","0519-83273929","0519-83273929"
"21699","常州市三井水上救生用品厂","5020","CHANGZHOU SANJING RESCUE DEVICE FACTORY","NO.58 GAOTIAN ROAD","三井高田路58号","www.savelife-sj.com","5201","救生用品。","213022","gupengyan@savelife-sj.com","0519-85211002","0519-85205960"
"21700","常州天安船舶动力有限公司","5020","CHANGZHOU TIAN AN MARINE POWER CO.,LTD","NO.413 SHENGLI VILLAGE,HONGMEIXIANG","红梅乡胜利村413号","","5201","船舶动力设备及配件。","213002","","0519-85211064",""
"21701","常州耀创电子设备有限公司（常州第二航海仪器厂）","5020","CHANGZHOU YAOCHUANG ELECTRONIC EQUIPMENT CO.,LTD","NO.16 XINZHU ROAD,TONGJIANG AVE,HITEC TECHNOLOGY DEVELOPMENT ZONE","高新技术开发区电子工业园通江大道新竹路16号","","5201","YSCZ系列油水分离器，船用厨房污物粉碎机，200~500kg摇摆试验台，焊接设备，非标设备，塑料制品等的制造。","213001","","0519-86642169","0519-86642172"
"21702","上海东舟实业有限公司","5020","Shanghai Dongzhou Industrial Co.,Ltd","7/F,No. 1 Lane 1466 Pudong Road(S)","浦东南路1466弄1号7楼","","5205","船舶机电，仪器组装，机电设备成套安装及简单加工，环保设备的研制、安装、调试及服务，保税区内仓储及运输，以造船材料、设备为主的国际贸易。","200122","dongzhou@online.sh.cn","021-58200209","021-58205078"
"21703","常州中日合资华日新材有限公司","5020","CHANGZHOU HUARI NEW MATERIAL CO.,LTD","NO.3 TAISHAN ROAD","泰山路3号","www.upe-world.com","5201","公司主营不饱和聚酯树脂及其辅料（年产2万吨）片状膜塑料（年产1万吨），团状膜塑料（年产1千吨）及其设计制造，提供售后服务。","213002","huarixg@pub.cz.jsinfo.net","0519-85210253","0519-85212144"
"21704","丹徒县船舶橡胶制品厂","5020","DANTU COUNTY MARINE RUBBER PRODUCT PLANT","DINGGANG TOWN","东郊丁岗镇","","5201","码头护舷、船用护舷。","212134","","0511-83561394",""
"21705","丹阳丹金橡胶制品有限公司","5020","DANYANG DANJIN RUBBER CO.,LTD","JINGLIN TOWN","丹阳市荆林镇","www.danjin-rubber.com","5201","船用橡胶制品。","212324","alexlxd@vip.163.com","0511-86237777","0511-86125816"
"21706","丹阳市车船装饰件厂","5020","DANYANG AUTO @ SHIP DECORATING PLANT","DUSHAN VILLAGE,FANGXIAN","访仙独山村","","5201","灯具，换气扇，车船塑料件制造，销售。","212321","","0511-86462570",""
"21707","丹阳市船舶救生照明配件厂","5020","DANYANG RESCUE LIGHT PLANT","BAIHUA BAIHUA ECONOMIC AREAS,DANYANG DEVELOPMENT ZONE","开发区百花经济园","","5201","救生示位灯。","212300","","0511-86885383","0511-86885820"
"21708","丹阳市船舶救生照明设备厂","5020","DANYANG RESCUE LIGHTING PLANT","NO.19 HUANCHENG ROAD,PICHENG","埤城环城路19号","www.ship-jiuxing.com","5201","船用救生照明灯具。","212311","qbs@ship-jiuxing.com","0511-86342105","0511-86349817"
"21709","丹阳市船舶橡胶厂","5020","DANYANG SHIP RUBBER PLANT","JINGCHENGQIAO","荆城桥","","5201","船舶橡胶配件。","212324","","0511-86232016",""
"21710","丹阳市华得利船舶设备有限公司","5020","DANYANG HUADELI MARINE EQUIPMENT CO.,LTD","YINGFENG ROAD,HOUXIANG TOWN","后巷镇迎丰路","www.jshdl.com","5201","码头护舷，船舶护舷及船用救生设备。","212312","huadeli@jshdl.com","0511-86326333","0511-86310899"
"21711","丹阳市华燕船舶设备有限公司","5020","DANYANG HUAYAN MARINE EQUIPMENT CO.,LTD","NO.6 JIUWEI ROAD,DANYANG ECONOMIC&TECHNOLOGICAL DEVELOPMENT ZONE","百花经济区丹阳市经济技术开发区九纬路6号","www.huayanmarine.com","5201","船用救生用品。","212310","service@huayandy.com","0511-86968267","0511-86885820"
"21712","丹阳市宇天工具有限公司","5020","DANYANG UNIVERSKY TOOLS CO.,LTD","DANJIN COMPREHENSIVE BUILDING,NO.88 DANJIN ROAD","丹金路88号丹金综合楼","","5201","船用五金物料。","212300","ammech@pub.zj.jsinfo.net","0515-86542677","0515-85760737"
"21713","上海费列加滤清器有限公司","5020","Shanghai Fleetguard Filter Co.,Ltd","No. 3595 Yang Gao Road (N),Pudong","浦东杨高南路3595号","www.shanghaifleetguard.com","5205","生产各类滤清器。","201208","service@shanghaifleetguard.com","021-58657950","021-58658066"
"21714","东台船用配件有限公司","5020","DONGTAI MARINE FITTINGS CO.,LTD","NO.112 BEIGUAN ROAD(N)","北关北路112号","","5201","船用艉轴系列，舵系系列配套产品及船用发电设备。","224200","cpc529128@tom.com","0515-85212339","0515-85213045"
"21715","东台市东方船舶装配有限公司","5020","DONGTAI DONGFANG MARINE FITTINGS CO.,LTD","NO.70 RENMIN ROAD,XINJIE","新街人民路70号","www.df-help.com","5201","生产船用消防、救生产品。","224200","dfhelp@126.com","0515-85751187","0515-85752106"
"21716","东台市海鹏船舶配件厂","5020","DONGTAI HAIPENG SHIPPING FITTINGS FACTORY","SANZAO STREET(E)","三灶街东首","www.hpcbkj.com","5201","制造、加工各类船舶艉轴、舵轴及其周边配套；压力水柜、热水柜；生活污水处理装置、油水分离器、消音器；刹车装置；小轴传动装置等。","224200","wyd-008@hpcbkj.com","0515-85452858","0515-85452856"
"21717","东台市华纳船舶配件有限公司","5020","DONGHAI HUANA MARINE FITTINGS CO.,LTD","TIANGONG INDUSTRIAL AREA(NO.136 NINGSHU ROAD)","天工工业园区（东台市宁树路136号）","","5201","油润滑、水润滑艉轴密封装置，艉管白合金轴承、隔舱传动装置等船用产品。","224200","dt.huana@126.com","0515-85276288","0515-85276968"
"21718","东台市江海救生消防设备有限公司","5020","DONGTAI JIANGHAI LIFE SAVING & FIRE FIGHTING EQUIP","RENMIN ROAD(E),XINJIE TOWN","新街镇人民东路","","5201","主要生产气胀救生筏玻璃钢存放桶、静水压力释放器、救生服、防暴露服、浸水保温救生服、保温用具等船舶救生系列产品。","224234","cxchyh@public.yc.js.cn","0515-85981234","0515-85755096"
"21719","东台市华阳科技开发有限公司船舶设备厂","5020","MARINE EQUIPMENT FACTORY OF DONGTAI HUAYANG S/T DE","NO.2 HONGDA ROAD,PRIVATE INDUSTRIAL AREA","私营工业园宏达路2号","","5201","专业设计制造油润滑、水润滑艉轴密封装置，白合金轴承，橡胶轴承，中间轴承，上、下舵承等系列产品。","224200","dingyuhua356@sohu.com","0515-85238109","0515-85271458"
"21720","东台市远洋船舶配件有限公司","5020","DONGTAI OCEAN MARINE FITTINGS CO.,LTD","NO.8 YUANYANG ROAD(S),QINDONG TOWN","溱东镇远洋南路8号","www.dtyy.com","5201","生产各类管道接头、万向接、U型卡、板卡、温度计护套、仪表阀门系列、船用阀门系列、船用不锈钢标准等附件及各类法兰。","224212","dtyy@dtyy.net","0515-85525288","0515-85522188"
"21721","海安船舶机械厂","5020","HAIAN MARINE MACHINERY PLANT","SUNZHUANG TOWN,HAIAN COUNTY","海安县孙庄镇","","5201","甲板机械。","226652","","0513-88655310","0513-88655226"
"21722","海门市江海船用救生设备有限责任公司","5020","HAIMEN JINGHAI LIFESAVING DEVICE CO.,LTD","ANJIAO VILLAGE,SANHE TOWN","三和镇岸角村","","5201","船用救生信号。","226113","","0513-82233250",""
"21723","洪泽县交通机械修配厂","5020","HONGZE COUNTY TRAFFIC MACHINE REPAIR PLANT","NO.4 HANGYUN NEW VILLAGE,GAOLIANGJIAN TOWN,HONGZE COUNTY","洪泽县高良涧镇航运新村4号","","5209","","223100","","0517-87222096",""
"21724","上海港机锻造热处理厂","5020","SPMP Forging Heat Treating Plant","No.3500 Pudong Road (S)","浦东南路3500号","","5205","锻件加工、热处理件加工。","200125","","021-58395139-3462","021-58738543"
"21725","湖北京山北化复合材料厂无锡办事处","5020","HUBEI JINGSHAN BEIHUA COMPOSITE MATERIAL PLANT,WUX","DONGTING","东亭","www.bhfhtec.com","5209","从事环氧树脂、酚醛树脂等合成树脂增韧改性、高性能环氧树脂胶黏剂、特种环氧树脂固化剂、水性聚氨酯树脂等高性能材料生产。","214101","wxd13961750383@yahoo.com.cn","0510-88947587","0510-88201173"
"21726","淮安市淮阴船用机械有限公司","5020","HUAIAN HUAIYIN MARINE MACHINERY CO.,LTD","NO.1 XINGYR ROAD,ECONOMIC DEVELOPING AREA","经济开发区兴业路1号","www.hycyjx.com","5201","船用甲板机械产品、工业泵、轴流风机等。","223005","master@hycyjx.com","0517-83715858","0517-83715511"
"21727","淮安万润通用机械有限公司","5020","HUAIAN WANRUN GENERAL MACHINERY CO.,LTD","NO.8 HAIKOU ROAD,ECONOMIC DEVELOPING AREA","经济开发区海口路8号","www.wanrungeneral.com","5201","双螺杆泵、管道油泵、起锚机、起锚绞盘、绞车、船用吊机、系缆绞盘、舵机等。","223005","master@wrgeneral.com","0517-83718759","0517-83715111"
"21728","淮安特种减速机有限责任公司","5020","HUAIAN SPECIAL REDUCTOR CO.,LTD","NO.2 BEIJING ROAD(N)","北京北路2号","","5201","","223001","","0517-83941313","0517-83941206"
"21729","淮安远航船用设备制造有限公司（原淮安清江机器制造厂）","5020","HUAIAN YUANHANG MARINE MARINE EQUIPMENTS MANUFACTU","NO.1 HANGZHOU ROAD","杭州路1号","www.hayh.com.cn","5201","锚泊机械、液压舵机、起重机械、辅助甲板机械、渔业机械、军用辅机、工程船专业设备、油田机械等。","223005","ywy@hayh.com.cn","0517-83719982","0517-83719985"
"21730","惠生（南通)重工有限公司","5020","WISON （NANTONG)HEAVY INDUSTRIAL CO.,LTD","NO.189，JIANGHAI ROAD,3RD PORT INDUSTRIAL THIRD AREA,TECHNICAL & ECONOMIC DEVELOPMENT ZONE","南通经济技术开发区港口工业三区江海路189号","www.wison.com","5201","海水石油平台，岸边集装箱起重机，海洋工程钢结构。","226009","nthr@wison.com","0513-85968888","0513-85968855"
"21731","昆山江锦机械厂（原江津增压器厂昆山分厂）","5020","KUNSHAN JIANGJIN MACHINE FACTORY(KUNSHAN BRANCH OF","NO.83 ROAD(N),LUJIABANG TOWN","陆家镇陆家浜北路83号","","5201","涡轮增压器零配件，以及增压器维修，承接各型增压器的维修业务和产品售后服务，船用柴油机部件等产品的生产。","215331","","0512-57671541","0512-57678603"
"21732","江东船用阀门机械有限公司","5020","JIANGDONG MARINE VALVES MACHINERY CO.,LTD","QINTONG TOWN","溱潼镇","","5201","船用阀门等。","225508","","0523-8615586","0523-8616664"
"21733","江都市华夏船用电子仪器厂","5020","JIANGDU HUAXIA MARINE ELECTRONIC INSTRUMENT FACTOR","CHUANGYE PARK,LONGCHUAN INDUSTRIAL ZONE","龙川工业园创业园","","5201","船用机舱集控台，温度、压力巡检仪，各种传感器开关量报警器，主配电板、分配电箱，各种控制箱等。","225200","","0514-86536368","0514-86536368"
"21734","江都市盛溪金属构件有限公司","5020","JIANGDU SHENGXI METAL STRUCTURE CO.,LTD","INDUSTRIAL ZONE,YILING TOWN","宜陵镇工业园区","www.sxjsgj.com","5201","发电机、货舱舱口盖及舾装件。","225231","bsl@sxjsgj.com","0514-86122361","0514-86122361"
"21735","上海冠卓企业发展有限公司","5020","Shanghai Eminent Enterprise Development Co.,Ltd","Jinshan Ave .,Jinshan District ","金山区金山石化地区金山大道","www.china-eminent.com","5205","港口及石油化工设备的设计制造，主要产品有快速脱缆钩，登船梯，输油臂，中央排水等。","200135","info@china-eminent.com","021-57941569","021-57943768"
"21736","江苏奥尼特电缆有限公司","5020","JIANGSU HONEST CABLE CO.,LTD","NO.9 HEYE ROAD(W),JIANGYANG INDUSTRIAL AREA","江阳工业园荷叶西路9号","www.jshonest.com","5201","船用电缆。","225000","tec@jshonest.com","0514-87755566","0514-87952005"
"21737","江苏常润机械有限公司","5020","JIANGSU CHANGRUN MECHANICAL CO.,LTD","BIXI,XINGANG TOWN","新港镇碧溪","","5201","锚链及锚链附件、船用工索具、起重设备、集装箱捆扎件、锻件、铸件生产销售。","215513","","0512-52691149",""
"21738","江苏多棱数控机床股份有限公司","5020","JIANGSU DUOLENG CNC MECHINE TOOL CO.,LTD","NO.150 ,CHANGXIN ROAD","常新路150号","www.czmtw.com","5201","多种数控镗床。","213012","czmtw@public.cz.js.cn","0519-83267155","0519-83260321"
"21739","江苏海豚船舶机械有限公司","5020","JIANGSU DOLPHIN MARINE MACHINERY CO.,LTD","NO.14 WEIWU ROAD,DONGTAI DEVELOPMENT ZONE","东台开发区纬五路14号","www.porpoiseships.com","5201","专业从事各类船用、法兰、管接头及附件产品的销售、生产。","224200","jshtjx@163.com","0515-85710666","0515-88107699"
"21740","江苏华阳金属管件有限公司","5020","JIANGSU HUAYANG METAL PIPES CO.,LTD","HUAYANG ROAD(N),ECONOMIC & DEVELOPMENT ZONE","句容市经济开发区华阳北路","www.hymco.com","5201","不锈钢、铜镍合金、钛材、锆材、碳钢、合金钢、双向钢。","212400","hymco@pub.zj.jsinfo.net","0511-87287888","0511-87287228"
"21741","江苏蛟龙重工业集团有限公司","5020","JIANGSU JIAOLONG HEAVY INDUSTRY GROUP CO.,LTD","PINGCHAO INDUSTRY AREA","平潮工业园区","www.jiaolong.net","5201","主要从事机械制造，钢结构设计与制造，船用大型钢结构和船体分段制造。","226300","jiaolong@jiaolong.net","0513-86710688","0513-86710888"
"21742","江苏科技大学校办工厂","5041","JIANGSU UNIVERSITY OF SCIENCE AND TECHNOLOGY PLANT","NO.2 HUANCHENG ROAD","环城路2号","","5201","船用输配电及控制设备等销售。","212003","","0511-84401244",""
"21743","江苏常恒航海电器有限公司","5020","JIANGSU CHANGHENG NAUTICAL ELECTRIC CO.,LTD","NO.12 JIANGZHOU ROAD(S)","江洲南路12号","www.changhengbx.com","5201","电机、机械设备、电工电器、控配电设备。","225300","zhangye@changhengbx.com","0523-86579023","0523-86552107"
"21744","江苏大中电机股份有限公司","5020","JIANGSU DAZHONG ELECTRIC MOTOR CO.,LTD","NO.39 JISHI ROAD(W)","季市西路","www.dzem-china.com","5201","Y-H 、YB-H、 YZ、 YZR-H中心高80~315系列船用电机，以及各种钢壳、多速、制动等特殊要求船用电机。","214523","jjdzjd@pub.tz.jsinfo.net","0523-84542326","0523-84542280"
"21745","江苏帝一集团有限公司","5020","JIANGSU DIYI GROUP CO.,LTD","NO.35 SANXING ROAD(E)","沙头镇三兴东路35号","www.chinadiyi.cn","5201","10KV及以下高低压开关设备、各类箱式变电站、机柜、柜体、电缆分支箱、母线桥架和各类音频电缆、视频电缆、射频电缆、计算机网络电缆、监控电缆、船用电缆、矿用电缆、RF电缆、超五类专用数据电缆等。","225105","mail@chinadiyi.cn","0514-87531528","0514-87538038"
"21746","上海光华电缆附件有限公司","5020","Shanghai Guanghua Cable Fittings Co.,Ltd","Xiangjiang Road(s),Caoan Road","曹安路翔江南路","www.international-marine.com","5205","造船、修船油漆，集装箱涂料。","201812","","021-69134724","021-69134724"
"21747","江苏东台船舶设备研究所/东台华阳公司船舶设备厂","5020","JIANGSU DONGTAI MARINE EQUIPMENT INSTITUTE/DONGTAI","NO.2 HONGDA ROAD,PRIVATE INDUSTRIAL AREA","宏达路2号","www.dtxycp.com","5201","尾轴系、舵轴系以及油润滑、水润滑艉轴密封装置、艉管白合金轴承、橡胶轴承、高分子轴承、中间轴承、上下舵承、平面摩擦舵承、隔舱传动、填料函等。","224200","dtxycp@sina.com","0515-85320109","0515-85312028"
"21748","江苏国兴通风设备有限公司","5020","JIANGSU GUOXING VENTILATION EQUIPMENT CO.,LTD","NO.58 JIANGPING ROAD(S)","江平南路58号","www.jsguoxing.com","5201","船用螺旋风管系列产品和其配件。","225400","gxjschina@163.com","0523-87602299","0523-87605299"
"21749","江苏海陆装饰有限公司","5020","JIANGSU HAILU DECORATION CO.,LTD","NO.228 ZHANXI ROAD","站西路228号","www.hailuzs.com","5201","船用复合岩棉板、防火门、构架件，船用防火窗、驾驶室移门，船用冷库及冷库门，船用家具、卫生单元、窗斗、不锈钢风雨密门、隔音门等。","214405","minznt@publicl.wx.js.cn","0510-86284489","0510-86291369"
"21750","江苏海宁船用器材厂","5020","JIANGSU HAINING MARINE EQUIPMENT PLANT","NO.22 BAOJIU ROAD(S),E/T DEVELOPMENT AREA","泰州市经济技术开发区鲍九南路22号","www.chinahaining.com","5201","制造、销售各类“海宁”牌气胀救生筏、海上撤离系统。","225300","haining@chinahaining.com","0523-86841234","0523-86842058"
"21751","江苏海星电机集团有限公司","5020","JIANGSU HAIXING ELECTRIC MACHINE GROUP CO.,LTD","NO.436 TONGHUI ROAD(E)","通惠东路436号","","5201","1FC2、1FC5、1FC6系列船用发电机，内燃发电机组及电器控制设备制造、销售、技术咨询和服务。","214031","","0510-82800214","0510-82803189"
"21752","江苏恒威机械制造有限公司","5020","JIANGSU HENGWEI MARINE MARINE MANUFACTURE CO.,LTD","NO.88 ZHENYU(W)","振宇西路88号","www.hengweijx.com","5201","中压活塞式空气压缩机，液压马达，液压离合器泵站，甲板机械。","225500","jycyc@pub.tz.jsinfo.net","0523-8263484","0523-8267227"
"21753","江苏红日船舶设备有限公司","5020","JIANGSU HONGRI SHIP EQUIPMENT CP.,LTD","ZHANGQIAO TOWN,SOUTH OF TAIXING","南门外张桥镇","www.hongricn.com","5201","船用舾装件、风机、通风附件、消防系列。","225451","hongricn@hongricn.com","0523-87561158","0523-87561718"
"21754","江苏靖江悦海船舶附件厂","5020","JIANGSU JINGJIANG YUEHAI SHIPPING ACCESSORIES FACT","DONGJIAO INDUSTRIAL AREA","东郊工业园","","5201","船用附件。","214500","","0523-84255932",""
